seq,1,2,3,4,
10,284587,714,46636,3327683,5838318,
100,36183,15203,20886,3108063,5406743,
500,713623,254244,422969,3148902,5446056,
1000,3208207,1218267,1204125,3055777,6007160,
3000,27192953,10161470,7064223,8573730,12150356,
5000,73414134,35517960,34063189,30852020,30845394,
