seq,1,2,3,4,
10,1976,1509,3884,2736046,5638305,
100,28534,13289,15668,2906103,5147855,
500,624251,248316,282429,3123895,5572661,
1000,3833182,951139,1087483,3295964,5634097,
3000,27141822,9791697,8957429,9552918,9812016,
5000,85162455,31632624,28612345,27348522,28321131,
