seq,1,2,3,4,
10,2229643,749,6659,2830907,5659217,
100,37252,15856,43509,2640159,5279760,
500,680090,262140,392644,3212313,5499819,
1000,3427503,1005425,1196230,3125881,6128987,
3000,25731883,10175884,9398719,7693532,13042687,
5000,74998725,33168187,34154138,35809839,39984914,
