seq,1,2,3,4,
10,1564284,690,1146,3007967,5517351,
100,40398,15898,17093,3176079,5623999,
500,762051,253800,448655,3251587,5403642,
1000,2943389,992658,1344779,3411079,5483268,
3000,26654615,8430100,7512107,10583779,10516401,
5000,76984950,30227494,29239836,27725266,31846580,
