seq,1,2,3,4,
10,1654710,680,1292,2983918,5632495,
100,34529,15210,33043,2671969,5239190,
500,713929,256594,513252,2951255,5625618,
1000,2661948,979875,1252598,3048962,5731895,
3000,25206104,9237195,10651624,9074590,10028845,
5000,79594820,32688322,27465091,30027781,24504886,
