seq,1,2,3,4,
10,345857,726,1245,2735540,4459990,
100,42974,18366,29179,3060078,4789475,
500,716879,253349,350586,2852070,5721831,
1000,2870999,928022,1001672,3232398,5729989,
3000,24540369,9265875,11959477,10096122,11931060,
5000,72922023,31353225,34100219,41956634,35686842,
