seq,1,2,3,4,
10,1800354,785,1185,2928211,5751708,
100,36018,15156,54325,2917180,5234907,
500,693850,263252,376094,2876834,5435696,
1000,2605089,1036374,1060376,3350901,5445965,
3000,25740448,9822572,9659476,8615616,9861725,
5000,79563203,28758742,25232459,29599430,28222655,
