seq,1,2,3,4,
10,2960254,749,1248,2776084,5487980,
100,46418,16497,25859,2724219,4964054,
500,703432,251313,360592,2888941,5924695,
1000,3006862,1014940,1397759,3416888,6409281,
3000,26831972,10517875,9890156,8651779,11439676,
5000,78862935,29782679,27228771,29553284,30185430,
