seq,1,2,3,4,
10,250872,845,113182,2961145,6078612,
100,43510,18122,29154,2694347,5199835,
500,739605,246896,288600,3308685,5604992,
1000,2969408,990959,1784961,3297861,5870024,
3000,27522649,8949078,7938656,9796865,9915428,
5000,77073826,28541810,30477772,27634356,30706094,
